SPM: switch [p<0.01 (unc.), k=50]

Cluster 1 	20842 vox	 -27	-4	+56

Assignment based on Maximum Probability Map	Percent of Cluster volume in Area	Percent of Area activated by Cluster
Palomero-Gallagher N, Eickhoff1 SB, Hoffstaedter F, Schleicher A, Mohlberg H, Vogt BA, Amunts K, Zilles K. Functional organization of human subgenual cortical areas: relationship between architectonical segregation and connectional heterogeneity. NeuroImage 115, 177-190, 2015.

Area PGp (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area Fo5
https://doi.org/10.25493/HJMY-ZZP

Area hIP4 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area Fo2
A. Henssen, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, F. Gerboga, S.B. Eickhoff, S. Bludau, K. Amunts. Cytoarchitecture and probability maps of the human medial orbitofrontal cortex. Cortex, 75: 87-112, 2016.

Area 1
S. Geyer, A. Schleicher, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex: I. Microstructural organisation and interindividual variability. NeuroImage 10: 63-83, 1999. _x000D__x000D_S. Geyer, T. Schormann, H. Mohlberg, K. Zilles. Areas 3a, 3b, and 1 of human primary somatosensory cortex:  II. Spatial normalization to standard anatomical space. NeuroImage 11 (6): 684-696, 2000.

Area 5L (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area hOc4la
A. Malikovic, K. Amunts, A. Schleicher, H. Mohlberg, M. Kujovic, S.E. Eickhoff, K. Zilles. Cytoarchitecture of the human lateral occipital cortex: Mapping of two extrastriate areas hOc4la and hOc4lp. Brain Structure and Function, 221(4):1877-97, 2016.

Area OP1 [SII]
S. Eickhoff, A. Schleicher, K. Zilles, K. Amunts. The human parietal operculum. I. Cytoarchitectonic mapping of subdivisions. Cereb. Cortex 16 (2): 254-267, 2006., _x000D__x000D_S. Eickhoff, K. Amunts, H. Mohlberg, K. Zilles. The human parietal operculum. II. Stereotaxic maps and correlation with functional imaging results. Cereb. Cortex 16 (2): 268-279, 2006.

Area TE 1.0
P. Morosan, J. Rademacher, A. Schleicher, K. Amunts, T. Schormann, K. Zilles. Human primary auditory cortex: Cytoarchitectonic subdivisions and mapping into a spatial reference system. NeuroImage 13: 684-701, 2001._x000D__x000D_J. Rademacher, P. Morosan, T. Schormann, A. Schleicher, C. Werner, H.J. Freund, K. Zilles. Probabilistic mapping and volume measurement of human primary auditory cortex. NeuroImage 13: 669-683, 2001.

Area 7P (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Area Ig1 
F. Kurth, S. B. Eickhoff, A. Schleicher, L. Hoemke, K. Zilles, and K. Amunts. Cytoarchitecture and probabilistic maps of the human posterior insular cortex. Cereb.Cortex 20 (6):1448-1461, 2009.

Area FG2
J. Caspers, K. Zilles, S.B. Eickhoff, A. Schleicher, H. Mohlberg, K. Amunts. Cytoarchitectonical analysis and probabilistic mapping of two extrastriate areas of the human posterior fusiform gyrus. Brain Structure and Function 218: 511-526, 2013.

Area TE 5
https://doi.org/10.25493/KHY9-J3Y

Area PF (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.

Area Id1 
F. Kurth, S. B. Eickhoff, A. Schleicher, L. Hoemke, K. Zilles, and K. Amunts. Cytoarchitecture and probabilistic maps of the human posterior insular cortex. Cereb.Cortex 20 (6):1448-1461, 2009.

Area 7A (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

Subiculum
K. Amunts, O. Kedo., M. Kindler., P. Pieperhoff., F. Schneider, H. Mohlberg, U. Habel, J.N. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005 

Area 7M (SPL)
F. Scheperjans, K. Hermann, S. B. Eickhoff, K. Amunts, A. Schleicher, K. Zilles. Observer-independent cytoarchitectonic mapping of the human superior parietal cortex. Cereb.Cortex 18 (4): 846-867, 2008. _x000D__x000D_F. Scheperjans, S. B. Eickhoff, L. Hˆmke, H. Mohlberg, K. Hermann, K. Amunts, K. Zilles. Probabilistic maps, morphometry, and variability of cytoarchitectonic areas in the human superior parietal cortex. Cereb.Cortex 18 (9): 2141-2157, 2008.

DG (Hippocampus)
K. Amunts, O. Kedo., M. Kindler., P. Pieperhoff., F. Schneider, H. Mohlberg, U. Habel, J.N. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005 

Area hOc1 [V1]
K. Amunts, A. Malikovic, H.Mohlberg, T.Schormann, K. Zilles. Brodmann's areas 17 and 18 brought into stereotaxic space - where and how variable? NeuroImage 11: 66-84, 2000

Area OP8
https://doi.org/10.25493/NGF8-TA4

Area p24ab
Palomero-Gallagher N, Hoffstaedter F, Mohlberg H, Eickhoff SB, Amunts K, Zilles K. (2018) Human pregenual anterior cingulate cortex: structural, functional and connectional heterogeneity. Cerebral Cortex. doi: 10.1093/cercor/bhy124.

Area hOc4lp
A. Malikovic, K. Amunts, A. Schleicher, H. Mohlberg, M. Kujovic, S.E. Eickhoff, K. Zilles. Cytoarchitecture of the human lateral occipital cortex: Mapping of two extrastriate areas hOc4la and hOc4lp. Brain Structure and Function, 221(4):1877-97, 2016.

Amygdala (LB)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area hIP8 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area FG4
S. Lorenz, K.S. Weiner, J. Caspers, H. Mohlberg, A. Schleicher, S. Bludau, S.B. Eickhoff, K. Grill-Spector, K. Zilles, K. Amunts. Two new cytoarchitectonic areas on the human mid-fusiform gyrus. Cerebral Cortex 27 (1): 373-385, 2017.

Area OP3 [VS]
S. Eickhoff, A. Schleicher, K. Zilles, K. Amunts. The human parietal operculum. I. Cytoarchitectonic mapping of subdivisions. Cereb. Cortex 16 (2): 254-267, 2006., _x000D__x000D_S. Eickhoff, K. Amunts, H. Mohlberg, K. Zilles. The human parietal operculum. II. Stereotaxic maps and correlation with functional imaging results. Cereb. Cortex 16 (2): 268-279, 2006.

Amygdala (IF)
K. Amunts, O. Kedo, M. Kindler, P. Pieperhoff, F. Schneider, H. Mohlberg, U. Habel, N.J. Shah, K. Zilles. Cytoarchitectonic mapping of the human amygdala, hippocampal region and entorhinal cortex. Anatomy and Embryology 210 (5-6): 343-352, 2005. _x000D__x000D_O. Kedo, K. Zilles, N. Palomero-Gallagher, A. Schleicher, H. Mohlberg, S. Bludau, K. Amunts. Receptor-driven, multimodal mapping of the human amygdala. Brain Structure and Function 223 (4): 1637-1666, 2018.

Area Id7
https://doi.org/10.25493/88QG-JMS

Area hIP7 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area Ia
https://doi.org/10.25493/WW8G-T2G

Area hIP6 (IPS)
M. Richter, K. Amunts, H. Mohlberg, S. Bludau, S.B. Eickhoff, K. Zilles, S. Caspers. Cytoarchitectonic segregation of human posterior intraparietal and adjacent parieto-occipital sulcus and ist relation to visuomotor and cognitive functions. Cereb Cortex, in press, 2018

Area 25
Palomero-Gallagher N, Eickhoff1 SB, Hoffstaedter F, Schleicher A, Mohlberg H, Vogt BA, Amunts K, Zilles K. Functional organization of human subgenual cortical areas: relationship between architectonical segregation and connectional heterogeneity. NeuroImage 115, 177-190, 2015.

Area s32
Palomero-Gallagher N, Eickhoff1 SB, Hoffstaedter F, Schleicher A, Mohlberg H, Vogt BA, Amunts K, Zilles K. Functional organization of human subgenual cortical areas: relationship between architectonical segregation and connectional heterogeneity. NeuroImage 115, 177-190, 2015.

 Interposed Nucleus
S. Tellmann, S. Bludau, S.B. Eickhoff, H. Mohlberg, M. Minnerop, K. Amunts. Cytoarchitectonic mapping of the human brain cerebellar nuclei in stereotaxic space and delineation of their co-activation patterns. Frontiers in Neuroanatomy 9: 54, 2015.

Area hOc2 [V2]
K. Amunts, A. Malikovic, H.Mohlberg, T.Schormann, K. Zilles. Brodmann's areas 17 and 18 brought into stereotaxic space - where and how variable? NeuroImage 11: 66-84, 2000

Area Id5
https://doi.org/10.25493/5CK1-B1G

Area OP4 [PV]
S. Eickhoff, A. Schleicher, K. Zilles, K. Amunts. The human parietal operculum. I. Cytoarchitectonic mapping of subdivisions. Cereb. Cortex 16 (2): 254-267, 2006., _x000D__x000D_S. Eickhoff, K. Amunts, H. Mohlberg, K. Zilles. The human parietal operculum. II. Stereotaxic maps and correlation with functional imaging results. Cereb. Cortex 16 (2): 268-279, 2006.

Area Fp2
S. Bludau, S.B. Eickhoff, H. Mohlberg, S. Caspers, A.R. Laird, P.T. Fox, A. Schleicher, K. Zilles, K. Amunts. Cytoarchitecture, probability maps and functions of the human frontal pole. NeuroImage, 93: 260-275, 2014.

BF (Ch 1-3)
L. Zaborszky, L. Hoemke, H. Mohlberg, A. Schleicher, K. Amunts, and K. Zilles. Stereotaxic probabilistic maps of the magnocellular cell groups in human basal forebrain. Neuroimage 42 (3):1127-1141, 2008.

Area PFop (IPL)
S. Caspers, S. Geyer, A. Schleicher, H. Mohlberg, K. Amunts, K. Zilles. The human inferior parietal cortex: Cytoarchitectonic parcellation and interindividual variability. Neuroimage 33 (2): 430-448, 2006. _x000D__x000D_S. Caspers, S. B. Eickhoff, S. Geyer, F. Scheperjans, H. Mohlberg, K. Zilles, K. Amunts. The human inferior parietal lobule in stereotaxic space. Brain Structure and Function 212 (6): 481-495, 2008.




